id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,general_information,partnerships,overall score,,,,,,,,,
1260.00,Education,Schools,East Siang,Oyan,Sille Village,27.89,95.31,50.00,85.00,80.36,54.49,45.00,26.25,0.00,68.18,24.00,14.29,42.86,34.55,0.00,24.00,15.40,38.38,0.00,47.00,75.00,50.07,,,,,,,,,
1274.00,Education,Schools,East Siang,Oyan,Oyan Village,27.89,95.31,35.00,85.00,77.23,18.84,0.00,26.25,0.00,0.00,24.00,14.29,42.86,34.55,0.00,96.80,26.80,22.78,100.00,49.00,100.00,48.44,,,,,,,,,
1276.00,Education,Schools,East Siang,Oyan,Sille Village,27.93,95.28,24.00,55.00,77.23,14.40,0.00,26.25,0.00,0.00,12.00,14.29,28.57,34.55,0.00,60.00,6.20,14.83,0.00,60.00,100.00,41.69,,,,,,,,,
1279.00,Education,Schools,Papumpare,Sangdupota,Jote,27.04,93.47,34.33,55.00,80.36,35.82,45.00,36.38,75.00,0.00,6.00,14.29,71.43,34.55,0.00,60.00,33.00,31.83,0.00,48.00,75.00,44.81,,,,,,,,,
1283.00,Education,Schools,West Kameng,Shergaon,Shergaon,27.12,92.26,15.00,65.00,74.11,39.38,45.00,68.12,50.00,42.42,12.00,28.57,0.00,17.27,0.00,100.00,51.70,29.93,0.00,50.00,75.00,42.93,,,,,,,,,
1286.00,Education,Schools,West Kameng,Shergaon,Shergaon,27.11,92.25,25.00,52.22,80.36,31.02,45.00,23.50,50.00,0.00,12.00,14.29,71.43,34.55,0.00,60.00,36.10,27.68,100.00,49.00,75.00,43.27,,,,,,,,,
1306.00,Education,Schools,West Siang,Darak,Kambu,28.27,94.70,31.00,80.00,74.11,7.20,45.00,28.00,0.00,0.00,24.00,14.29,71.43,34.55,0.00,36.00,29.20,22.83,0.00,63.67,100.00,50.07,,,,,,,,,
1312.00,Education,Schools,Lower Subansiri,Ziro,Tajang,27.62,93.84,28.00,85.00,74.11,28.44,45.00,35.50,50.00,0.00,12.00,14.29,71.43,34.55,0.00,60.00,28.00,26.33,0.00,67.00,75.00,51.77,,,,,,,,,
1330.00,Education,Schools,Lower Subansiri,Ziro,Siro,27.53,93.84,30.00,85.00,80.36,47.29,45.00,52.38,50.00,0.00,18.00,14.29,71.43,24.55,100.00,100.00,32.90,29.13,0.00,79.00,75.00,58.55,,,,,,,,,
1383.00,Education,Schools,West Kameng,Shergaon,Shergaon,27.12,92.26,20.00,60.00,64.73,37.16,45.00,28.12,50.00,59.09,12.00,14.29,0.00,17.27,0.00,100.00,12.30,27.83,0.00,38.00,75.00,37.93,,,,,,,,,
